Order number;Pickup X;Pickup Y;Pickup Start time;Pickup End time;Delivery X;Delivery Y;Delivery Start time;Delivery End time;Revenue;Service Times;Loading meters;Weight;;
Vehicle 1;19;115;0;1000;131;25;0;848;0;0;0;0;;
Vehicle 2;6;126;0;1000;133;116;0;774;0;0;0;0;;
[SFT1-C25-16-2]-1;37.5;75;50;290;57;102;149;389;22;30;5.2;8317.1;;
[SFT1-C25-16-2]-2;52.5;103.5;43;283;42;78;108;348;302;30;13.6;15561.6;;
[SFT1-C25-16-2]-3;45;75;62;302;33;112.5;157;397;48;30;13.6;12801.6;;
[SFT1-C25-16-2]-4;37.5;75;43;283;45;75;81;321;11;30;13.6;14097.1;;
[SFT1-C25-16-2]-5;37.5;127.5;25;265;22.5;112.5;97;337;44;30;13.6;6790.9;;
[SFT1-C25-16-2]-6;60;75;59;299;63;102;134;374;16;30;13.6;18474.4;;
[SFT1-C25-16-2]-7;37.5;127.5;23;263;45;75;149;389;14;30;1.9;2873.3;;
[SFT1-C25-16-2]-8;22.5;120;8;248;60;99;117;357;133;30;13.6;20988;;
[SFT1-C25-16-2]-9;37.5;75;49;289;45;75;90;330;24;30;13.6;22456.9;;
[SFT1-C25-16-2]-10;45;75;38;278;22.5;120;139;379;93;30;13.6;23655.4;;
[SFT1-C25-16-2]-11;30;127.5;14;254;45;75;155;395;84;30;13.6;21199.8;;
[SFT1-C25-16-2]-12;33;112.5;13;253;60;99;88;328;39;30;13.6;17022.9;;
[SFT1-C25-16-2]-13;33;112.5;14;254;27;112.5;51;291;9;30;13.6;20539.7;;
[SFT1-C25-16-2]-14;63;97.5;58;298;57;102;97;337;5;30;13.6;22049.2;;
[SFT1-C25-16-2]-15;57;102;40;280;37.5;75;135;375;49;30;13.6;24398.9;;
[SFT1-C25-16-2]-16;45;75;55;295;37.5;75;93;333;27;30;13.6;23020;;
