Order number;Pickup X;Pickup Y;Pickup Start time;Pickup End time;Delivery X;Delivery Y;Delivery Start time;Delivery End time;Revenue;Service Times;Loading meters;Weight
Vehicle 1;148;114;0;1000;11;67;0;891;0;0;0;0
Vehicle 2;120;139;0;1000;75;33;0;755;0;0;0;0
[SFT1-RC25-20-2]-1;60;22.5;128;368;63;15;171;411;28;30;13.6;21760.4
[SFT1-RC25-20-2]-2;60;75;110;350;60;22.5;248;488;76;30;13.6;13145.5
[SFT1-RC25-20-2]-3;33;112.5;112;352;7.5;67.5;230;470;21;30;13.6;12174.5
[SFT1-RC25-20-2]-4;60;22.5;155;395;7.5;67.5;273;513;353;30;12.8;10367.8
[SFT1-RC25-20-2]-5;3;60;113;353;37.5;127.5;248;488;305;30;13.6;23262.6
[SFT1-RC25-20-2]-6;60;22.5;155;395;27;112.5;332;572;190;30;9.3;8507.7
[SFT1-RC25-20-2]-7;30;127.5;104;344;12;67.5;263;503;10;30;2.3;3118.6
[SFT1-RC25-20-2]-8;22.5;112.5;110;350;66;7.5;368;608;110;30;13.6;8951.2
[SFT1-RC25-20-2]-9;57;22.5;135;375;33;112.5;303;543;277;30;13.6;20835.3
[SFT1-RC25-20-2]-10;12;67.5;121;361;0;67.5;166;406;94;30;11.1;20616
[SFT1-RC25-20-2]-11;30;120;99;339;12;60;254;494;9;30;1.2;2006.5
[SFT1-RC25-20-2]-12;7.5;52.5;177;417;3;60;223;463;26;30;13.6;24139.2
[SFT1-RC25-20-2]-13;63;22.5;123;363;57;22.5;165;405;16;30;13.6;9876.7
[SFT1-RC25-20-2]-14;30;120;90;330;0;67.5;235;475;90;30;13.6;20834.8
[SFT1-RC25-20-2]-15;66;7.5;150;390;7.5;52.5;278;518;462;30;13.6;5005.9
[SFT1-RC25-20-2]-16;22.5;120;112;352;60;22.5;321;561;326;30;13.6;23450.4
[SFT1-RC25-20-2]-17;30;127.5;75;315;60;22.5;285;525;106;30;13.6;8813.2
[SFT1-RC25-20-2]-18;63;15;164;404;27;112.5;344;584;33;30;13.6;22089.6
[SFT1-RC25-20-2]-19;63;15;107;347;3;60;236;476;17;30;3;1200
[SFT1-RC25-20-2]-20;63;22.5;115;355;0;60;256;496;56;30;5.1;8976.7
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
