Order number;Pickup X;Pickup Y;Pickup Start time;Pickup End time;Delivery X;Delivery Y;Delivery Start time;Delivery End time;Revenue;Service Times;Loading meters;Weight
Vehicle 1;97;148;0;1000;120;12;0;739;0;0;0;0
Vehicle 2;72;27;0;1000;51;143;0;721;0;0;0;0
Vehicle 3;20;108;0;1000;76;4;0;955;0;0;0;0
[SFT2-C50-24-3]-1;60;75;55;295;34.5;78;131;371;43;30;13.6;21778
[SFT2-C50-24-3]-2;45;48;40;280;57;102;136;376;29;30;6.3;10205.9
[SFT2-C50-24-3]-3;52.5;99;38;278;60;75;117;357;102;30;13.6;9989.8
[SFT2-C50-24-3]-4;34.5;82.5;28;268;7.5;52.5;103;343;73;30;6.3;7600.8
[SFT2-C50-24-3]-5;52.5;99;42;282;37.5;75;125;365;28;30;13.6;21222.8
[SFT2-C50-24-3]-6;7.5;67.5;43;283;67.5;105;149;389;615;30;13.6;22711.7
[SFT2-C50-24-3]-7;48;45;31;271;67.5;105;192;432;156;30;13.6;24352.6
[SFT2-C50-24-3]-8;15;52.5;57;297;42;45;138;378;72;30;13.6;17150
[SFT2-C50-24-3]-9;42;52.5;44;284;52.5;99;158;398;307;30;12.1;24281.3
[SFT2-C50-24-3]-10;45;78;45;285;15;52.5;141;381;64;30;13.6;22206.5
[SFT2-C50-24-3]-11;42;52.5;47;287;15;60;133;373;88;30;13.6;12089.2
[SFT2-C50-24-3]-12;42;82.5;27;267;67.5;105;125;365;322;30;13.6;23977.3
[SFT2-C50-24-3]-13;45;48;27;267;3;60;142;382;94;30;13.6;16503.9
[SFT2-C50-24-3]-14;7.5;52.5;73;313;52.5;48;198;438;5;30;1.1;1754.4
[SFT2-C50-24-3]-15;63;99;45;285;33;127.5;130;370;103;30;13.6;25069.2
[SFT2-C50-24-3]-16;37.5;75;38;278;3;60;111;351;179;30;13.6;4745.7
[SFT2-C50-24-3]-17;37.5;75;44;284;0;60;127;367;26;30;13.6;20181
[SFT2-C50-24-3]-18;27;112.5;8;248;45;75;125;365;47;30;13.6;10997.7
[SFT2-C50-24-3]-19;67.5;105;62;302;45;45;167;407;137;30;13.6;26494.9
[SFT2-C50-24-3]-20;42;78;45;285;48;45;116;356;92;30;13.6;21162.2
[SFT2-C50-24-3]-21;15;52.5;54;294;49.5;48;149;389;152;30;13.6;8614.7
[SFT2-C50-24-3]-22;37.5;127.5;22;262;42;82.5;127;367;21;30;13.6;11171.2
[SFT2-C50-24-3]-23;52.5;48;32;272;67.5;102;165;405;40;30;13.3;18670.7
[SFT2-C50-24-3]-24;30;82.5;30;270;37.5;75;73;313;24;30;13.6;10535.6
