Order number;Pickup X;Pickup Y;Pickup Start time;Pickup End time;Delivery X;Delivery Y;Delivery Start time;Delivery End time;Revenue;Service Times;Loading meters;Weight
Vehicle 1;23;40;0;1000;53;150;0;720;0;0;0;0
Vehicle 2;136;50;0;1000;21;99;0;877;0;0;0;0
Vehicle 3;80;39;0;1000;147;142;0;940;0;0;0;0
Vehicle 4;117;6;0;1000;3;145;0;925;0;0;0;0
Vehicle 5;143;48;0;1000;91;147;0;861;0;0;0;0
[SFT2-R100-50-5]-1;82.5;90;61;301;73.5;87;104;344;9;30;8;247.2
[SFT2-R100-50-5]-2;18;36;5;245;19.5;78;111;351;46;30;13.6;19959.6
[SFT2-R100-50-5]-3;37.5;31.5;18;258;85.5;43.5;143;383;90;30;13.6;9848.7
[SFT2-R100-50-5]-4;61.5;55.5;26;266;37.5;45;84;324;31;30;13.6;10338.5
[SFT2-R100-50-5]-5;28.5;31.5;13;253;30;60;98;338;24;30;13.6;16750.2
[SFT2-R100-50-5]-6;82.5;90;58;298;33;33;210;450;25;30;2.3;525.3
[SFT2-R100-50-5]-7;33;33;10;250;30;60;94;334;11;30;1.6;2602.6
[SFT2-R100-50-5]-8;16.5;21;23;263;52.5;103.5;217;457;40;30;13.6;21214.1
[SFT2-R100-50-5]-9;40.5;64.5;34;274;73.5;109.5;175;415;59;30;13.6;24284.6
[SFT2-R100-50-5]-10;97.5;30;17;257;60;90;162;402;262;30;13.6;6986.9
[SFT2-R100-50-5]-11;93;115.5;67;307;79.5;78;140;380;6;30;2.7;3309.3
[SFT2-R100-50-5]-12;33;40.5;13;253;16.5;21;94;334;46;30;13.6;20871
[SFT2-R100-50-5]-13;6;27;21;261;34.5;4.5;120;360;315;30;13.6;22031
[SFT2-R100-50-5]-14;82.5;7.5;28;268;37.5;45;147;387;123;30;13.6;6799.3
[SFT2-R100-50-5]-15;9;102;76;316;52.5;52.5;211;451;18;30;1.9;2223
[SFT2-R100-50-5]-16;30;97.5;70;310;37.5;31.5;190;430;41;30;13.6;14235.3
[SFT2-R100-50-5]-17;82.5;90;53;293;39;78;156;396;9;30;0.9;1582.8
[SFT2-R100-50-5]-18;55.5;70.5;36;276;18;36;143;383;23;30;4.4;7587.8
[SFT2-R100-50-5]-19;3;72;46;286;52.5;103.5;169;409;71;30;13.6;19404.5
[SFT2-R100-50-5]-20;48;18;41;281;52.5;103.5;184;424;43;30;13.6;19372.8
[SFT2-R100-50-5]-21;94.5;34.5;18;258;21;55.5;164;404;75;30;7.6;11886.1
[SFT2-R100-50-5]-22;39;40.5;17;257;61.5;73.5;104;344;119;30;13.6;20868.8
[SFT2-R100-50-5]-23;93;115.5;72;312;85.5;72;153;393;316;30;13.6;21204.4
[SFT2-R100-50-5]-24;36;87;63;303;6;27;226;466;150;30;13.6;17228.2
[SFT2-R100-50-5]-25;30;97.5;70;310;46.5;100.5;123;363;50;30;13.6;28094
[SFT2-R100-50-5]-26;84;58.5;17;257;82.5;90;104;344;45;30;13.6;22680.2
[SFT2-R100-50-5]-27;39;40.5;17;257;100.5;7.5;192;432;144;30;13.6;2097.7
[SFT2-R100-50-5]-28;67.5;97.5;72;312;84;58.5;184;424;26;30;2.8;4834.9
[SFT2-R100-50-5]-29;45;7.5;48;288;36;18;97;337;2;30;2.1;3369.3
[SFT2-R100-50-5]-30;94.5;34.5;12;252;36;87;183;423;84;30;1.8;3586
[SFT2-R100-50-5]-31;60;37.5;23;263;22.5;28.5;132;372;103;30;13.6;21387.4
[SFT2-R100-50-5]-32;82.5;7.5;31;271;16.5;21;170;410;301;30;13.6;23013.8
[SFT2-R100-50-5]-33;33;33;16;256;45;90;162;402;412;30;13.6;21128.1
[SFT2-R100-50-5]-34;39;52.5;18;258;73.5;16.5;127;367;49;30;13.6;13648.5
[SFT2-R100-50-5]-35;33;33;12;252;3;72;102;342;45;30;13.6;28173
[SFT2-R100-50-5]-36;24;33;6;246;75;52.5;147;387;47;30;13.6;21885.1
[SFT2-R100-50-5]-37;36;18;21;261;22.5;90;130;370;67;30;13.6;9677
[SFT2-R100-50-5]-38;52.5;103.5;77;317;84;58.5;212;452;109;30;13.6;11450.1
[SFT2-R100-50-5]-39;36;87;56;296;82.5;7.5;257;497;17;30;1.1;1825.1
[SFT2-R100-50-5]-40;52.5;103.5;68;308;82.5;30;229;469;585;30;13.6;10343.4
[SFT2-R100-50-5]-41;55.5;46.5;32;272;60;90;112;352;127;30;13.6;27240.2
[SFT2-R100-50-5]-42;67.5;45;14;254;70.5;70.5;81;321;128;30;13.6;25755.6
[SFT2-R100-50-5]-43;73.5;109.5;91;331;36;18;254;494;106;30;13.6;13560.9
[SFT2-R100-50-5]-44;30;30;10;250;54;39;77;317;45;30;13.6;22529.5
[SFT2-R100-50-5]-45;30;97.5;54;294;61.5;73.5;127;367;5;30;1.6;1570.9
[SFT2-R100-50-5]-46;82.5;90;67;307;30;60;190;430;21;30;1.6;2706.4
[SFT2-R100-50-5]-47;22.5;115.5;96;336;25.5;51;237;477;69;30;12.8;20827.9
[SFT2-R100-50-5]-48;91.5;78;37;277;22.5;45;180;420;52;30;13.6;6805.5
[SFT2-R100-50-5]-49;54;39;20;260;69;19.5;88;328;85;30;13.6;9642.1
[SFT2-R100-50-5]-50;69;19.5;20;260;42;27;105;345;60;30;9.3;16579.6
;;;;;;;;;;;;
